Care Provider Name,Care Provider ID,Time Zone,Program Name,Outreach Program ID,Outreach Use Case,Category,Call Launch Date,Call Launch Hour,Scheduled Count,Launched Count
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),LGH Post Discharge - OB,60c7bd4dd27cbe39e50b62d0,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,15,15
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),IM-ADLT-PD,60d1e5f2ff16722d5de1e280,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,217,213
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),IM-ADLT-ED,60d1f18ed27cbe0b53f7f77b,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,453,453
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),IM-PEDS-PD,60d9bb63d27cbe2a4bba4d2e,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,40,40
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),IM-PEDS-ED,60dc436b74410f2ace2172a6,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,157,157
Clark Memorial Health,60a6a42774410f5af7470ae0,Eastern Time (US & Canada),Clark Memorial Hospital Post-Discharge Outreach,60e89dfb74410fd36f263819,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,2,2
Stony Brook Medicine (Outpatient),60eee987ff1672d66efdeda2,Eastern Time (US & Canada),Stony Brook Appointment Reminder 3D,60f08737d27cbeb73ab327f2,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,3445,3087
Stony Brook Medicine (Outpatient),60eee987ff1672d66efdeda2,Eastern Time (US & Canada),Stony Brook Appointment Reminder 3D Telehealth,60f6da8ed27cbe7c46bf0db8,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,265,248
Schneck Medical Center,5a944e9fd27cbe7a4c7adc33,Eastern Time (US & Canada),Schneck Appointment Reminders - 5 Days,61533100d27cbe0808457c3c,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,907,889
UC Irvine,5eb9b129ff1672391b6812ba,Pacific Time (US & Canada),UCI Health - Heart Failure - 24Hr,615b036474410f8b9f36d469,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,5,5
UC Irvine,5eb9b129ff1672391b6812ba,Pacific Time (US & Canada),UCI Health - Heart Failure ,615f3e20ff167258579a6fa2,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,10,10
Advocate Aurora Health,5b856d97d27cbeda1d99f29c,Central Time (US & Canada),AAH WI IP Care Transitions,61c32eb9ff167271769ae35b,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,80,80
Inova Health System,58bec27a9c055208405da427,Eastern Time (US & Canada),Inova COVID-19 Positive Results,61e1aeda74410f53e5f598b4,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,39,36
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Covid Negative Outreach,61e862c3a8cd74ee686b5ecf,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,12,12
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Covid Positive Outreach,61e83649ff1672d9fb51d0a3,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,3,3
Kaiser Permanente,61f81b43ff1672ea3f5264f2,Pacific Time (US & Canada),Transitions Program Outreach,622ba432ff1672f566873131,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,108,87
Inova Health System,58bec27a9c055208405da427,Eastern Time (US & Canada),Inova 5D Appointment Reminder,622fff85d27cbe2de24d2d65,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,1898,1406
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),Post Discharge - Generic Longitudinal ,6234a04fff1672a99e397310,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),16,31,31
Sentara Healthcare,51c9ccbb677aff4218000528,Eastern Time (US & Canada),SAMC HR Sepsis Care Transitions Call,56006ce561706f3ede990a00,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,5,5
Sentara Healthcare,51c9ccbb677aff4218000528,Eastern Time (US & Canada),SAMC MR COPD Care Transitions Call,5611e43752414969d8e80100,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,1,1
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),NICU Post Discharge,58050c81acc0db5aa62514d6,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,4,3
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),Mother Baby Post Discharge 2,58fee971d27cbe95e4dd0376,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,82,82
UC Irvine,5eb9b129ff1672391b6812ba,Pacific Time (US & Canada),UCI Health - Inpatient Post Discharge,5eb9b1b0ff167237a669e813,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,3,3
UCSF Medical Center,520b9fed677aff2618000073,Pacific Time (US & Canada),UCSF NSQIP,5cd1e36bd27cbe2c0fcedb09,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,4,4
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),5D-AR-V2-no Live Transfer,5fc6845dd27cbed020275db4,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,50,49
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),2D-AR-V2-No Live Transfer,5fc7bd19d27cbed30a25cea2,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,9,9
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),5D-Confirm Only No Arrival,5f8ee117d27cbe5f17178d56,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,6,6
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),2D-AR-New Patient,5f87499bff16729264c52dae,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,1,1
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),5D-AR-V3-NoLiveTransfer,5fc7b6cfff1672b8bb84dd88,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,9,8
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),2D-Confirm Only No Arrival,5f88521d74410f29d848391d,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,19,18
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),2D-AR-General Confirm Only,5f3bfc97d27cbefcc87718c4,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,5,5
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),2D-AR-V3-Live Transfer,5fc8184174410f154db476bd,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,7,6
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),AR-Ortho Trauma,5f62363774410ff55ce98831,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,13,2
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),2D-AR-Live Transfer,5fc80891ff1672b3e791592f,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,26,26
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),AR-CT/MRI/PET,5f49426ed27cbe4f73ee5dfd,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,3,3
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),Enloe -  5 Day Appointment Reminder AntiCoag (English),5f0f4fd8d27cbeda9ef9eaaa,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,13,13
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),2D-AR-V3-No Live Transfer,5fc8016cff1672b3e7914897,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,5,4
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),5D-AR-No Live Transfer Dec2020,5fc5126e74410f1bc2acb13b,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,28,14
Stony Brook Medicine (Outpatient),60eee987ff1672d66efdeda2,Eastern Time (US & Canada),Stony Brook Appointment Reminder 3D,60f08737d27cbeb73ab327f2,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,418,381
Stony Brook Medicine (Outpatient),60eee987ff1672d66efdeda2,Eastern Time (US & Canada),Stony Brook Appointment Reminder 3D Telehealth,60f6da8ed27cbe7c46bf0db8,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,21,21
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Appointment Reminder 2D,6176fb27ff16721f89f97caf,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,2080,1985
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Appointment Reminder 1D,6176fb4f74410f1a443c763b,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,13,12
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Telehealth Appointment Reminder 2D,6176fe82d27cbe0f52f99bd8,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,402,390
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Telehealth Appointment Reminder 1D,6176fea374410f150c46adf0,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,11,10
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Covid Negative Outreach,61e862c3a8cd74ee686b5ecf,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,2,2
HCA Healthcare,560188d45241493461290200,Central Time (US & Canada),St. David's Medical Center: Same Day Surgery,61df1e0b74410f54def172e3,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,14,14
Inova Health System,58bec27a9c055208405da427,Eastern Time (US & Canada),Inova 5D Appointment Reminder,622fff85d27cbe2de24d2d65,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,504,481
Inova Health System,58bec27a9c055208405da427,Eastern Time (US & Canada),Inova 5D Telehealth Appointment Reminder,623000dcff1672a6ec36cc1a,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),17,148,120
Middlesex Hospital,517569541b85b034fb000003,Eastern Time (US & Canada),Middlesex CHF,52af8eca677aff565700002c,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,5,5
Middlesex Hospital,517569541b85b034fb000003,Eastern Time (US & Canada),Middlesex COPD,565c6b205241495cd1060000,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,1,1
Charleston Area Medical Center,517801601b85b02a1e000003,Eastern Time (US & Canada),Post Discharge,51c60947677aff7aa9000ba2,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,8,8
Middlesex Hospital,517569541b85b034fb000003,Eastern Time (US & Canada),Middlesex Obstetrics,524d8baf677aff4bd4000001,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,1,1
Middlesex Hospital,517569541b85b034fb000003,Eastern Time (US & Canada),Middlesex Inpatient,517592101b85b06407000010,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,17,17
Providence Health & Services,51c0c559677affbffc001ed2,Pacific Time (US & Canada),PHS SJH High Risk Inpatient Care Call 949 v2,5d2ca401d27cbe62810d3e75,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,17,17
Charles B. Wang Community Health Center,5cd03c15d27cbe3fc1eab596,Eastern Time (US & Canada),CBWCHC Appointment Reminders - English,5d35f068ff167297eeed8732,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,150,141
UCSF Medical Center,520b9fed677aff2618000073,Pacific Time (US & Canada),UCSF OB 2,5ac1e825d27cbed6e6dd7ae6,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,11,11
Providence Health & Services,51c0c559677affbffc001ed2,Pacific Time (US & Canada),PHS SJH High Risk Inpatient Care Call 760 v2,5d2ca231d27cbe62810d3537,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,25,25
Cedars-Sinai Medical Center,5acfa72aff16722d8f9117b0,Pacific Time (US & Canada),Cedars-Sinai Inpatient Program,5af33d36ff16723c4cafb73e,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,69,69
Cedars-Sinai Medical Center,5acfa72aff16722d8f9117b0,Pacific Time (US & Canada),Cedars-Sinai SDS Program,5e0dfd27ff1672421efdf5c8,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,71,71
Charles B. Wang Community Health Center,5cd03c15d27cbe3fc1eab596,Eastern Time (US & Canada),CBWCHC Appointment Reminders - Cantonese,5d38850bd27cbeeff94e2e3b,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,82,73
Cedars-Sinai Medical Center,5acfa72aff16722d8f9117b0,Pacific Time (US & Canada),Cedars-Sinai OB PD Outreach Program,5c40e17274410f160b652d32,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,13,13
Charles B. Wang Community Health Center,5cd03c15d27cbe3fc1eab596,Eastern Time (US & Canada),CBWCHC Appointment Reminders - Mandarin,5d43187bd27cbe7ffa05a829,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,266,258
Cedars-Sinai Medical Center,5acfa72aff16722d8f9117b0,Pacific Time (US & Canada),Marina Del Rey Inpatient Program,5d026446ff1672016a6ac3ae,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,5,5
Providence Health & Services,51c0c559677affbffc001ed2,Pacific Time (US & Canada),PHS SJH High Risk Inpatient Care Call 714 v2 (SYM),5d251d81ff1672e3740f28da,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,56,56
UCSF Medical Center,520b9fed677aff2618000073,Pacific Time (US & Canada),Ortho 2,5ac396c3ff1672e8d73cfb9f,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,5,5
Boone Memorial Hospital,5fc693e474410f1b1aad6bed,Eastern Time (US & Canada),COVID-19 Negative Results,5fc94780ff1672b4978ba858,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,2,2
Enloe Medical Center,5d545ea4d27cbe2f767a217c,Pacific Time (US & Canada),2D-AR-Telehealth,5fc8197b74410f1abdae71ad,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,19,19
MultiCare Health System,5ca64c89d27cbef492462703,Pacific Time (US & Canada),Multicare - Inpatient - Puget Sound,6001daf274410fe385afe3f2,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,34,34
MultiCare Health System,5ca64c89d27cbef492462703,Pacific Time (US & Canada),Multicare - Surgery - Puget Sound,602d734bff167245043971fc,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,93,93
MultiCare Health System,5ca64c89d27cbef492462703,Pacific Time (US & Canada),Multicare - ED - Inland Northwest,600066a5ff1672df0396a27d,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,197,193
MultiCare Health System,5ca64c89d27cbef492462703,Pacific Time (US & Canada),Multicare - Surgery - Inland Northwest,6001db9374410fe385afe5d2,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,77,77
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),Post Discharge,6034015a74410ff2b7727257,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,143,142
MultiCare Health System,5ca64c89d27cbef492462703,Pacific Time (US & Canada),Multicare - Inpatient - Inland Northwest,6001db1c74410fe4ceaf4413,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,8,8
MultiCare Health System,5ca64c89d27cbef492462703,Pacific Time (US & Canada),Multicare - ED - Puget Sound,60005867d27cbe2bd41c6b2b,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,489,477
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),LGH Post Discharge,605ba19474410fcaf5e7cf98,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,42,42
MultiCare Health System,5ca64c89d27cbef492462703,Pacific Time (US & Canada),Multicare - OCED - Puget Sound,606b1636ff167219a3cbb091,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,262,261
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),Post Discharge - OB,60c131f4d27cbe07e333cc79,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,28,28
Clark Memorial Health,60a6a42774410f5af7470ae0,Eastern Time (US & Canada),Clark Memorial Hospital Post-Discharge Outreach,60e89dfb74410fd36f263819,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,1,1
Providence Health & Services,51c0c559677affbffc001ed2,Pacific Time (US & Canada),PHS NorCal Inpatient Post Discharge,612fd135ff167210315be471,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,1,1
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Appointment Reminder 2D,6176fb27ff16721f89f97caf,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,529,512
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Appointment Reminder 1D,6176fb4f74410f1a443c763b,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,3,3
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Telehealth Appointment Reminder 2D,6176fe82d27cbe0f52f99bd8,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,84,82
Riverside University Health System,5c113c1974410fc8443478d8,Pacific Time (US & Canada),RUHS Telehealth Appointment Reminder 1D,6176fea374410f150c46adf0,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,2,2
Clark Memorial Health,60a6a42774410f5af7470ae0,Eastern Time (US & Canada),Clark Memorial Hospital ED Outreach,618e9824d27cbe2da651db20,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,1,1
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),In Person Appointment Reminder,6227855cd27cbe7aa5f94bda,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,498,470
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),Appointment Prep (5D),6227a0a5ff167250e852e906,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,10,10
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),Video Visit Appointment Reminder,62278c18ff16724fcd5622ab,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,23,23
Inova Health System,58bec27a9c055208405da427,Eastern Time (US & Canada),Inova 5D Telehealth Appointment Reminder,623000dcff1672a6ec36cc1a,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,29,29
University of Pennsylvania Health System,559d9b1452414928ff9d0000,Eastern Time (US & Canada),Post Discharge - Generic Longitudinal ,6234a04fff1672a99e397310,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),18,19,19
Sentara Healthcare,51c9ccbb677aff4218000528,Eastern Time (US & Canada),SAMC HR Sepsis Care Transitions Call,56006ce561706f3ede990a00,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,5,5
Saint Francis Health- Tulsa,5175aa7e1b85b034fb00007a,Central Time (US & Canada),Saint Francis Oncology,549053665241492625fd0000,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,2,2
Saint Francis Health- Tulsa,5175aa7e1b85b034fb00007a,Central Time (US & Canada),Saint Francis Obstetrics,51e45ad2acc0db537e0005a2,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,4,4
Sentara Healthcare,51c9ccbb677aff4218000528,Eastern Time (US & Canada),SAMC MR COPD Care Transitions Call,5611e43752414969d8e80100,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,1,1
Saint Francis Health- Tulsa,5175aa7e1b85b034fb00007a,Central Time (US & Canada),Saint Francis Post Discharge,5176c94f26a97afcc800003b,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,34,34
Saint Francis Health- Tulsa,5175aa7e1b85b034fb00007a,Central Time (US & Canada),Saint Francis Pediatrics,51e449d1acc0db1f240000e9,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,19,19
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),CHF Post Discharge,580cbe89677aff0dda134a30,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,12,12
Charles B. Wang Community Health Center,5cd03c15d27cbe3fc1eab596,Eastern Time (US & Canada),CBWCHC Appointment Reminders - English,5d35f068ff167297eeed8732,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,9,7
Saint Francis Health- Tulsa,5175aa7e1b85b034fb00007a,Central Time (US & Canada),St. Francis Vinita Inpatient,5db746e5d27cbeabfad01fdb,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,1,1
Intermountain Healthcare,550b3ab85241494278ba0000,Mountain Time (US & Canada),Total Joint Discharge,591f0130d27cbe86e8f9b100,post_discharge,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,32,32
Charles B. Wang Community Health Center,5cd03c15d27cbe3fc1eab596,Eastern Time (US & Canada),CBWCHC Appointment Reminders - Cantonese,5d38850bd27cbeeff94e2e3b,appointment_reminders,Twilio (Voice+SMS+Webform),Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time),19,9,9
